Country,Year,GDP
ASEAN-5,2026,3757.257
Advanced economies,2026,72202.717
Africa (Region),2026,3302.958
Albania,2026,32.411
Algeria,2026,284.984
Andorra,2026,4.715
Angola,2026,109.855
Antigua and Barbuda,2026,2.456
Argentina,2026,667.922
Armenia,2026,29.082
Aruba,2026,4.471
Asia and Pacific,2026,43121.329
Australia,2026,1948.227
Australia and New Zealand,2026,2228.781
Austria,2026,604.198
Azerbaijan,2026,80.024
"Bahamas, The",2026,16.841
Bahrain,2026,49.194
Bangladesh,2026,519.288
Barbados,2026,7.944
Belarus,2026,90.556
Belgium,2026,761.174
Belize,2026,3.442
Benin,2026,27.453
Bhutan,2026,3.771
Bosnia and Herzegovina,2026,36.239
Botswana,2026,20.708
Brazil,2026,2292.69
Brunei Darussalam,2026,16.457
Bulgaria,2026,142.203
Burkina Faso,2026,30.705
Burundi,2026,9.212
Cabo Verde,2026,3.138
Cambodia,2026,51.506
Cameroon,2026,67.517
Canada,2026,2420.837
Caribbean,2026,157.071
Central African Republic,2026,3.708
Central America,2026,573.507
Central Asia and the Caucasus,2026,2321.763
Chad,2026,23.556
Chile,2026,363.299
"China, People's Republic of",2026,20650.754
Colombia,2026,462.251
Comoros,2026,1.77
"Congo, Dem. Rep. of the",2026,88.126
"Congo, Republic of ",2026,16.952
Costa Rica,2026,109.135
Croatia,2026,113.132
Cyprus,2026,43.158
Czech Republic,2026,417.134
Côte d'Ivoire,2026,111.446
Denmark,2026,500.051
Djibouti,2026,5.003
Dominica,2026,0.791
Dominican Republic,2026,138.34
East Asia,2026,28495.619
Eastern Europe ,2026,6015.555
Ecuador,2026,134.711
Egypt,2026,399.508
El Salvador,2026,37.981
Emerging and Developing Asia,2026,29722.432
Emerging and Developing Europe,2026,6614.092
Emerging market and developing economies,2026,51381.777
Equatorial Guinea,2026,14.103
Estonia,2026,51.036
Eswatini,2026,5.495
Ethiopia,2026,125.744
Euro area,2026,18914.469
Europe,2026,31480.589
European Union,2026,22515.043
Fiji,2026,6.696
Finland,2026,335.534
France,2026,3558.562
Gabon,2026,22.726
"Gambia, The",2026,2.672
Georgia,2026,40.177
Germany,2026,5328.184
Ghana,2026,113.494
Greece,2026,304.838
Grenada,2026,1.524
Guatemala,2026,129.466
Guinea,2026,30.922
Guinea-Bissau,2026,2.764
Guyana,2026,27.486
Haiti,2026,31.097
Honduras,2026,40.821
Hong Kong SAR,2026,446.646
Hungary,2026,269.916
Iceland,2026,43.404
India,2026,4505.629
Indonesia,2026,1550.236
Iran,2026,375.644
Iraq,2026,273.912
Ireland,2026,750.112
Israel,2026,666.407
Italy,2026,2701.544
